Date,Time,INSCO2 (mmHg)
17 Oct 2022,15:26:41.410,2.3
17 Oct 2022,15:26:43.964,2.5
17 Oct 2022,15:26:46.522,2.2
17 Oct 2022,15:26:49.061,2.2
17 Oct 2022,15:26:51.619,2.2
17 Oct 2022,15:26:54.158,2.2
17 Oct 2022,15:26:56.716,2.2
17 Oct 2022,15:26:59.270,2.5
17 Oct 2022,15:27:01.827,2.5
17 Oct 2022,15:27:04.384,2.6
17 Oct 2022,15:27:06.922,2.3
17 Oct 2022,15:27:09.495,2.3
17 Oct 2022,15:27:12.031,2.3
17 Oct 2022,15:27:14.581,2.3
17 Oct 2022,15:27:17.131,2.3
17 Oct 2022,15:27:19.679,2.3
17 Oct 2022,15:27:22.230,2.3
17 Oct 2022,15:27:24.790,2.3
17 Oct 2022,15:27:27.344,2.3
17 Oct 2022,15:27:29.879,2.3
17 Oct 2022,15:27:32.436,2.7
17 Oct 2022,15:27:34.976,2.7
17 Oct 2022,15:27:37.532,2.7
17 Oct 2022,15:27:40.111,3.1
17 Oct 2022,15:27:42.629,2.6
17 Oct 2022,15:27:45.190,2.6
17 Oct 2022,15:27:47.740,2.6
17 Oct 2022,15:27:50.287,2.6
17 Oct 2022,15:27:52.854,2.6
17 Oct 2022,15:27:55.377,2.8
17 Oct 2022,15:27:57.937,2.8
17 Oct 2022,15:28:00.497,0.5
17 Oct 2022,15:28:03.045,0.5
17 Oct 2022,15:28:05.601,0.5
17 Oct 2022,15:28:08.141,0.5
17 Oct 2022,15:28:10.698,2.3
17 Oct 2022,15:28:13.256,2.3
17 Oct 2022,15:28:15.795,2.3
17 Oct 2022,15:28:18.367,2.3
17 Oct 2022,15:28:20.906,2.3
17 Oct 2022,15:28:23.459,2.4
17 Oct 2022,15:28:26.009,2.4
17 Oct 2022,15:28:28.544,2.4
17 Oct 2022,15:28:31.121,2.1
17 Oct 2022,15:28:33.658,2.1
17 Oct 2022,15:28:36.196,2.1
17 Oct 2022,15:28:38.767,2.1
17 Oct 2022,15:28:41.308,2.1
17 Oct 2022,15:28:43.863,2.5
17 Oct 2022,15:28:46.419,2.5
17 Oct 2022,15:28:48.960,2.5
17 Oct 2022,15:28:51.518,2.5
17 Oct 2022,15:28:54.056,2.5
17 Oct 2022,15:28:56.629,2.6
17 Oct 2022,15:28:59.176,2.8
17 Oct 2022,15:29:01.709,2.8
17 Oct 2022,15:29:04.286,2.8
17 Oct 2022,15:29:06.805,2.4
17 Oct 2022,15:29:09.384,2.4
17 Oct 2022,15:29:11.934,2.4
17 Oct 2022,15:29:14.460,2.4
