Date,Time,SPO2 (%),TimeStamp (mS)
17 Oct 2022,15:22:44.918,98,1666034564918
17 Oct 2022,15:22:47.466,98,1666034567466
17 Oct 2022,15:22:50.018,98,1666034570018
17 Oct 2022,15:22:52.571,98,1666034572571
17 Oct 2022,15:22:55.129,98,1666034575129
17 Oct 2022,15:22:57.681,98,1666034577681
17 Oct 2022,15:23:00.230,98,1666034580230
17 Oct 2022,15:23:02.768,97,1666034582768
17 Oct 2022,15:23:05.320,97,1666034585320
17 Oct 2022,15:23:07.901,97,1666034587901
17 Oct 2022,15:23:10.442,97,1666034590442
17 Oct 2022,15:23:12.973,97,1666034592973
17 Oct 2022,15:23:15.530,97,1666034595530
17 Oct 2022,15:23:18.085,97,1666034598085
17 Oct 2022,15:23:20.633,97,1666034600633
17 Oct 2022,15:23:23.210,97,1666034603210
17 Oct 2022,15:23:25.745,97,1666034605745
17 Oct 2022,15:23:28.288,97,1666034608288
17 Oct 2022,15:23:30.833,98,1666034610833
17 Oct 2022,15:23:33.398,98,1666034613398
17 Oct 2022,15:23:35.949,98,1666034615949
17 Oct 2022,15:23:38.492,98,1666034618492
17 Oct 2022,15:23:41.029,98,1666034621029
17 Oct 2022,15:23:43.583,98,1666034623583
17 Oct 2022,15:23:46.140,98,1666034626140
17 Oct 2022,15:23:48.717,98,1666034628717
17 Oct 2022,15:23:51.238,98,1666034631238
17 Oct 2022,15:23:53.799,98,1666034633799
17 Oct 2022,15:23:56.349,98,1666034636349
17 Oct 2022,15:23:58.891,98,1666034638891
17 Oct 2022,15:24:01.466,98,1666034641466
17 Oct 2022,15:24:04.001,97,1666034644001
17 Oct 2022,15:24:06.540,98,1666034646540
17 Oct 2022,15:24:09.117,98,1666034649117
17 Oct 2022,15:24:11.656,98,1666034651656
17 Oct 2022,15:24:14.212,98,1666034654212
17 Oct 2022,15:24:16.766,98,1666034656766
17 Oct 2022,15:24:19.306,98,1666034659306
17 Oct 2022,15:24:21.860,98,1666034661860
17 Oct 2022,15:24:24.402,98,1666034664402
17 Oct 2022,15:24:26.974,97,1666034666974
17 Oct 2022,15:24:29.522,97,1666034669522
17 Oct 2022,15:24:32.068,97,1666034672068
17 Oct 2022,15:24:34.612,97,1666034674612
17 Oct 2022,15:24:37.174,97,1666034677174
17 Oct 2022,15:24:39.743,97,1666034679743
17 Oct 2022,15:24:42.270,98,1666034682270
17 Oct 2022,15:24:44.808,98,1666034684808
17 Oct 2022,15:24:47.373,98,1666034687373
17 Oct 2022,15:24:49.917,97,1666034689917
17 Oct 2022,15:24:52.471,97,1666034692471
17 Oct 2022,15:24:55.028,97,1666034695028
17 Oct 2022,15:24:57.568,97,1666034697568
17 Oct 2022,15:25:00.123,97,1666034700123
17 Oct 2022,15:25:02.686,97,1666034702686
17 Oct 2022,15:25:05.243,97,1666034705243
17 Oct 2022,15:25:07.778,97,1666034707778
17 Oct 2022,15:25:10.316,97,1666034710316
17 Oct 2022,15:25:12.880,97,1666034712880
17 Oct 2022,15:25:15.428,97,1666034715428
17 Oct 2022,15:25:17.986,98,1666034717987
17 Oct 2022,15:25:20.527,97,1666034720527
17 Oct 2022,15:25:23.083,97,1666034723083
17 Oct 2022,15:25:25.637,98,1666034725637
17 Oct 2022,15:25:28.199,98,1666034728199
17 Oct 2022,15:25:30.733,98,1666034730733
17 Oct 2022,15:25:33.291,98,1666034733291
17 Oct 2022,15:25:35.848,97,1666034735848
17 Oct 2022,15:25:38.385,97,1666034738385
