Date,Time,Respiration (bpm)
17 Oct 2022,15:22:46.474,15.0
17 Oct 2022,15:22:49.018,15.0
17 Oct 2022,15:22:51.572,15.0
17 Oct 2022,15:22:54.127,14.0
17 Oct 2022,15:22:56.682,14.0
17 Oct 2022,15:22:59.229,14.0
17 Oct 2022,15:23:01.762,14.0
17 Oct 2022,15:23:04.335,14.0
17 Oct 2022,15:23:06.888,14.0
17 Oct 2022,15:23:09.437,14.0
17 Oct 2022,15:23:11.975,14.0
17 Oct 2022,15:23:14.535,14.0
17 Oct 2022,15:23:17.086,14.0
17 Oct 2022,15:23:19.630,14.0
17 Oct 2022,15:23:22.181,14.0
17 Oct 2022,15:23:24.743,16.0
17 Oct 2022,15:23:27.283,16.0
17 Oct 2022,15:23:29.831,16.0
17 Oct 2022,15:23:32.396,15.0
17 Oct 2022,15:23:34.950,15.0
17 Oct 2022,15:23:37.495,15.0
17 Oct 2022,15:23:40.049,15.0
17 Oct 2022,15:23:42.596,15.0
17 Oct 2022,15:23:45.143,15.0
17 Oct 2022,15:23:47.695,15.0
17 Oct 2022,15:23:50.251,15.0
17 Oct 2022,15:23:52.793,12.0
17 Oct 2022,15:23:55.351,12.0
17 Oct 2022,15:23:57.904,12.0
17 Oct 2022,15:24:00.458,12.0
17 Oct 2022,15:24:03.003,12.0
17 Oct 2022,15:24:05.539,12.0
17 Oct 2022,15:24:08.102,12.0
17 Oct 2022,15:24:10.655,12.0
17 Oct 2022,15:24:13.223,12.0
17 Oct 2022,15:24:15.748,15.0
17 Oct 2022,15:24:18.303,15.0
17 Oct 2022,15:24:20.859,15.0
17 Oct 2022,15:24:23.402,15.0
17 Oct 2022,15:24:25.972,13.0
17 Oct 2022,15:24:28.519,13.0
17 Oct 2022,15:24:31.059,13.0
17 Oct 2022,15:24:33.624,13.0
17 Oct 2022,15:24:36.157,13.0
17 Oct 2022,15:24:38.720,13.0
17 Oct 2022,15:24:41.268,13.0
17 Oct 2022,15:24:43.802,13.0
17 Oct 2022,15:24:46.374,12.0
17 Oct 2022,15:24:48.911,12.0
17 Oct 2022,15:24:51.485,12.0
17 Oct 2022,15:24:54.026,12.0
17 Oct 2022,15:24:56.565,12.0
17 Oct 2022,15:24:59.123,12.0
17 Oct 2022,15:25:01.664,12.0
17 Oct 2022,15:25:04.239,12.0
17 Oct 2022,15:25:06.774,11.0
17 Oct 2022,15:25:09.316,11.0
17 Oct 2022,15:25:11.893,11.0
17 Oct 2022,15:25:14.427,11.0
17 Oct 2022,15:25:16.982,15.0
17 Oct 2022,15:25:19.540,15.0
17 Oct 2022,15:25:22.086,15.0
17 Oct 2022,15:25:24.652,14.0
17 Oct 2022,15:25:27.174,14.0
17 Oct 2022,15:25:29.754,14.0
17 Oct 2022,15:25:32.289,14.0
17 Oct 2022,15:25:34.829,14.0
17 Oct 2022,15:25:37.393,10.0
17 Oct 2022,15:25:39.942,10.0
17 Oct 2022,15:25:42.497,10.0
17 Oct 2022,15:25:45.036,13.0
17 Oct 2022,15:25:47.609,13.0
17 Oct 2022,15:25:50.148,13.0
17 Oct 2022,15:25:52.705,13.0
17 Oct 2022,15:25:55.251,13.0
17 Oct 2022,15:25:57.800,14.0
17 Oct 2022,15:26:00.346,14.0
17 Oct 2022,15:26:02.896,14.0
17 Oct 2022,15:26:05.462,15.0
17 Oct 2022,15:26:08.020,15.0
17 Oct 2022,15:26:10.552,15.0
17 Oct 2022,15:26:13.108,15.0
17 Oct 2022,15:26:15.650,15.0
17 Oct 2022,15:26:18.205,15.0
17 Oct 2022,15:26:20.758,15.0
17 Oct 2022,15:26:23.299,15.0
17 Oct 2022,15:26:25.855,15.0
17 Oct 2022,15:26:28.410,15.0
17 Oct 2022,15:26:30.967,15.0
17 Oct 2022,15:26:33.505,15.0
17 Oct 2022,15:26:36.071,13.0
17 Oct 2022,15:26:38.620,13.0
17 Oct 2022,15:26:41.159,13.0
17 Oct 2022,15:26:43.716,13.0
17 Oct 2022,15:26:46.272,16.0
17 Oct 2022,15:26:48.814,16.0
17 Oct 2022,15:26:51.367,16.0
17 Oct 2022,15:26:53.909,16.0
17 Oct 2022,15:26:56.469,13.0
17 Oct 2022,15:26:59.022,13.0
17 Oct 2022,15:27:01.563,13.0
17 Oct 2022,15:27:04.119,13.0
17 Oct 2022,15:27:06.673,15.0
17 Oct 2022,15:27:09.229,15.0
17 Oct 2022,15:27:11.790,15.0
17 Oct 2022,15:27:14.341,15.0
17 Oct 2022,15:27:16.882,15.0
17 Oct 2022,15:27:19.427,15.0
17 Oct 2022,15:27:21.985,15.0
17 Oct 2022,15:27:24.554,15.0
17 Oct 2022,15:27:27.083,15.0
17 Oct 2022,15:27:29.630,15.0
17 Oct 2022,15:27:32.193,15.0
17 Oct 2022,15:27:34.730,15.0
17 Oct 2022,15:27:37.299,17.0
17 Oct 2022,15:27:39.843,17.0
17 Oct 2022,15:27:42.382,17.0
17 Oct 2022,15:27:44.945,16.0
17 Oct 2022,15:27:47.492,16.0
17 Oct 2022,15:27:50.047,16.0
17 Oct 2022,15:27:52.588,16.0
17 Oct 2022,15:27:55.130,16.0
17 Oct 2022,15:27:57.707,16.0
17 Oct 2022,15:28:00.246,16.0
17 Oct 2022,15:28:02.813,16.0
17 Oct 2022,15:28:05.337,16.0
17 Oct 2022,15:28:07.900,16.0
17 Oct 2022,15:28:10.448,16.0
17 Oct 2022,15:28:12.991,16.0
17 Oct 2022,15:28:15.560,16.0
17 Oct 2022,15:28:18.109,14.0
17 Oct 2022,15:28:20.643,14.0
17 Oct 2022,15:28:23.212,14.0
17 Oct 2022,15:28:25.759,14.0
17 Oct 2022,15:28:28.310,13.0
17 Oct 2022,15:28:30.866,13.0
17 Oct 2022,15:28:33.411,13.0
17 Oct 2022,15:28:35.961,13.0
17 Oct 2022,15:28:38.506,14.0
17 Oct 2022,15:28:41.075,14.0
17 Oct 2022,15:28:43.614,14.0
17 Oct 2022,15:28:46.155,14.0
17 Oct 2022,15:28:48.712,14.0
17 Oct 2022,15:28:51.270,14.0
17 Oct 2022,15:28:53.824,14.0
17 Oct 2022,15:28:56.365,14.0
17 Oct 2022,15:28:58.925,15.0
17 Oct 2022,15:29:01.475,15.0
17 Oct 2022,15:29:04.040,15.0
17 Oct 2022,15:29:06.570,15.0
17 Oct 2022,15:29:09.147,14.0
17 Oct 2022,15:29:11.670,14.0
17 Oct 2022,15:29:14.225,14.0
17 Oct 2022,15:29:16.786,14.0
17 Oct 2022,15:29:19.337,14.0
17 Oct 2022,15:29:21.878,14.0
17 Oct 2022,15:29:24.435,14.0
17 Oct 2022,15:29:26.973,14.0
17 Oct 2022,15:29:29.535,13.0
17 Oct 2022,15:29:32.087,13.0
17 Oct 2022,15:29:34.629,13.0
17 Oct 2022,15:29:37.188,13.0
17 Oct 2022,15:29:39.743,12.0
17 Oct 2022,15:29:42.302,12.0
17 Oct 2022,15:29:44.839,12.0
17 Oct 2022,15:29:47.392,12.0
17 Oct 2022,15:29:49.934,13.0
17 Oct 2022,15:29:52.486,13.0
17 Oct 2022,15:29:55.045,13.0
17 Oct 2022,15:29:57.599,15.0
17 Oct 2022,15:30:00.145,15.0
17 Oct 2022,15:30:02.695,15.0
17 Oct 2022,15:30:05.236,15.0
17 Oct 2022,15:30:07.793,15.0
17 Oct 2022,15:30:10.347,15.0
17 Oct 2022,15:30:12.889,15.0
17 Oct 2022,15:30:15.446,15.0
17 Oct 2022,15:30:17.999,15.0
17 Oct 2022,15:30:20.561,15.0
17 Oct 2022,15:30:23.098,15.0
17 Oct 2022,15:30:25.664,15.0
17 Oct 2022,15:30:28.209,15.0
17 Oct 2022,15:30:30.747,15.0
17 Oct 2022,15:30:33.307,15.0
17 Oct 2022,15:30:35.868,15.0
17 Oct 2022,15:30:38.419,20.0
17 Oct 2022,15:30:40.973,20.0
17 Oct 2022,15:30:43.513,20.0
17 Oct 2022,15:30:46.055,20.0
17 Oct 2022,15:30:48.626,15.0
17 Oct 2022,15:30:51.157,15.0
