Date,Time,ETCO2 (mmHg)
17 Oct 2022,15:21:25.346,36.6
17 Oct 2022,15:21:27.894,36.6
17 Oct 2022,15:21:30.432,36.3
17 Oct 2022,15:21:32.990,36.3
17 Oct 2022,15:21:35.529,36.3
17 Oct 2022,15:21:38.092,38.5
17 Oct 2022,15:21:40.641,38.5
17 Oct 2022,15:21:43.185,38.5
17 Oct 2022,15:21:45.739,35.8
17 Oct 2022,15:21:48.293,35.3
17 Oct 2022,15:21:50.851,35.3
17 Oct 2022,15:21:53.406,35.8
17 Oct 2022,15:21:55.951,35.8
17 Oct 2022,15:21:58.488,35.8
17 Oct 2022,15:22:01.048,35.8
17 Oct 2022,15:22:03.604,35.6
17 Oct 2022,15:22:06.157,35.6
17 Oct 2022,15:22:08.695,35.9
17 Oct 2022,15:22:11.251,35.9
17 Oct 2022,15:22:13.808,35.9
17 Oct 2022,15:22:16.350,35.9
17 Oct 2022,15:22:18.921,35.9
17 Oct 2022,15:22:21.445,35.9
17 Oct 2022,15:22:24.005,35.9
17 Oct 2022,15:22:26.559,36.1
17 Oct 2022,15:22:29.120,36.1
17 Oct 2022,15:22:31.676,36.1
17 Oct 2022,15:22:34.217,36.1
17 Oct 2022,15:22:36.758,35.8
17 Oct 2022,15:22:39.323,35.8
17 Oct 2022,15:22:41.862,36.1
17 Oct 2022,15:22:44.433,36.1
17 Oct 2022,15:22:46.959,36.1
17 Oct 2022,15:22:49.515,36.1
17 Oct 2022,15:22:52.075,36.1
17 Oct 2022,15:22:54.611,36.1
17 Oct 2022,15:22:57.190,36.1
17 Oct 2022,15:22:59.730,36.7
17 Oct 2022,15:23:02.265,36.7
17 Oct 2022,15:23:04.835,36.7
17 Oct 2022,15:23:07.378,36.1
17 Oct 2022,15:23:09.941,36.1
17 Oct 2022,15:23:12.488,36.0
17 Oct 2022,15:23:15.018,36.0
17 Oct 2022,15:23:17.583,36.0
17 Oct 2022,15:23:20.127,36.2
17 Oct 2022,15:23:22.696,36.2
17 Oct 2022,15:23:25.240,36.2
17 Oct 2022,15:23:27.782,35.9
17 Oct 2022,15:23:30.333,35.9
17 Oct 2022,15:23:32.895,36.4
17 Oct 2022,15:23:35.451,36.4
17 Oct 2022,15:23:37.986,35.6
17 Oct 2022,15:23:40.525,35.6
17 Oct 2022,15:23:43.099,35.3
17 Oct 2022,15:23:45.639,35.4
17 Oct 2022,15:23:48.204,35.4
17 Oct 2022,15:23:50.750,35.4
17 Oct 2022,15:23:53.294,35.4
17 Oct 2022,15:23:55.852,35.4
17 Oct 2022,15:23:58.403,35.1
17 Oct 2022,15:24:00.963,35.1
17 Oct 2022,15:24:03.500,35.9
17 Oct 2022,15:24:06.038,35.9
17 Oct 2022,15:24:08.599,35.9
17 Oct 2022,15:24:11.158,35.9
17 Oct 2022,15:24:13.707,35.9
17 Oct 2022,15:24:16.247,35.9
17 Oct 2022,15:24:18.804,35.9
17 Oct 2022,15:24:21.359,35.7
17 Oct 2022,15:24:23.916,35.7
17 Oct 2022,15:24:26.456,35.7
17 Oct 2022,15:24:29.021,35.6
17 Oct 2022,15:24:31.560,35.6
17 Oct 2022,15:24:34.107,35.6
17 Oct 2022,15:24:36.670,36.3
17 Oct 2022,15:24:39.240,36.3
17 Oct 2022,15:24:41.766,36.3
17 Oct 2022,15:24:44.316,36.3
17 Oct 2022,15:24:46.858,35.9
17 Oct 2022,15:24:49.414,36.0
17 Oct 2022,15:24:51.968,36.0
17 Oct 2022,15:24:54.510,36.0
17 Oct 2022,15:24:57.067,36.8
17 Oct 2022,15:24:59.621,36.8
17 Oct 2022,15:25:02.183,36.8
17 Oct 2022,15:25:04.726,36.8
17 Oct 2022,15:25:07.276,36.9
17 Oct 2022,15:25:09.817,36.9
17 Oct 2022,15:25:12.378,36.9
17 Oct 2022,15:25:14.927,36.9
17 Oct 2022,15:25:17.484,36.5
17 Oct 2022,15:25:20.022,36.5
17 Oct 2022,15:25:22.587,36.8
17 Oct 2022,15:25:25.120,36.8
17 Oct 2022,15:25:27.683,36.8
17 Oct 2022,15:25:30.248,36.8
17 Oct 2022,15:25:32.771,37.0
17 Oct 2022,15:25:35.329,37.0
17 Oct 2022,15:25:37.884,37.0
17 Oct 2022,15:25:40.447,37.0
17 Oct 2022,15:25:42.997,36.3
17 Oct 2022,15:25:45.536,36.3
17 Oct 2022,15:25:48.092,36.3
17 Oct 2022,15:25:50.648,36.3
17 Oct 2022,15:25:53.188,37.2
17 Oct 2022,15:25:55.777,37.2
17 Oct 2022,15:25:58.286,37.2
17 Oct 2022,15:26:00.846,36.4
17 Oct 2022,15:26:03.398,36.4
17 Oct 2022,15:26:05.940,36.4
17 Oct 2022,15:26:08.515,36.2
17 Oct 2022,15:26:11.057,36.2
17 Oct 2022,15:26:13.596,36.0
17 Oct 2022,15:26:16.163,36.0
17 Oct 2022,15:26:18.702,36.5
17 Oct 2022,15:26:21.257,36.5
17 Oct 2022,15:26:23.798,36.5
17 Oct 2022,15:26:26.354,35.9
17 Oct 2022,15:26:28.911,35.9
17 Oct 2022,15:26:31.450,36.2
17 Oct 2022,15:26:34.024,36.2
17 Oct 2022,15:26:36.563,36.5
17 Oct 2022,15:26:39.103,36.5
17 Oct 2022,15:26:41.675,36.5
17 Oct 2022,15:26:44.230,36.5
17 Oct 2022,15:26:46.777,36.5
17 Oct 2022,15:26:49.313,36.5
17 Oct 2022,15:26:51.853,36.5
17 Oct 2022,15:26:54.425,36.5
17 Oct 2022,15:26:56.982,36.2
17 Oct 2022,15:26:59.525,36.8
17 Oct 2022,15:27:02.077,36.8
17 Oct 2022,15:27:04.619,36.8
17 Oct 2022,15:27:07.174,36.0
17 Oct 2022,15:27:09.713,36.8
17 Oct 2022,15:27:12.294,36.8
17 Oct 2022,15:27:14.830,36.8
17 Oct 2022,15:27:17.366,35.7
17 Oct 2022,15:27:19.927,35.7
17 Oct 2022,15:27:22.483,36.8
17 Oct 2022,15:27:25.038,36.8
17 Oct 2022,15:27:27.581,36.8
17 Oct 2022,15:27:30.130,35.7
17 Oct 2022,15:27:32.687,36.2
17 Oct 2022,15:27:35.244,36.2
17 Oct 2022,15:27:37.783,36.2
17 Oct 2022,15:27:40.341,35.2
17 Oct 2022,15:27:42.886,35.2
17 Oct 2022,15:27:45.441,35.2
17 Oct 2022,15:27:47.992,35.5
17 Oct 2022,15:27:50.551,35.8
17 Oct 2022,15:27:53.089,35.8
17 Oct 2022,15:27:55.645,35.8
17 Oct 2022,15:27:58.189,35.8
17 Oct 2022,15:28:00.745,35.7
17 Oct 2022,15:28:03.297,35.7
17 Oct 2022,15:28:05.836,35.9
17 Oct 2022,15:28:08.393,35.9
17 Oct 2022,15:28:10.948,36.1
17 Oct 2022,15:28:13.507,36.1
17 Oct 2022,15:28:16.044,36.1
17 Oct 2022,15:28:18.601,36.4
17 Oct 2022,15:28:21.157,36.4
17 Oct 2022,15:28:23.697,36.6
17 Oct 2022,15:28:26.256,36.6
17 Oct 2022,15:28:28.826,36.7
17 Oct 2022,15:28:31.355,36.7
17 Oct 2022,15:28:33.914,36.7
17 Oct 2022,15:28:36.464,36.6
17 Oct 2022,15:28:39.005,36.6
17 Oct 2022,15:28:41.575,37.1
17 Oct 2022,15:28:44.098,37.1
17 Oct 2022,15:28:46.661,37.1
17 Oct 2022,15:28:49.210,36.6
17 Oct 2022,15:28:51.767,36.3
17 Oct 2022,15:28:54.323,36.3
17 Oct 2022,15:28:56.868,36.6
17 Oct 2022,15:28:59.424,36.6
17 Oct 2022,15:29:01.960,36.6
17 Oct 2022,15:29:04.517,36.3
17 Oct 2022,15:29:07.088,36.3
17 Oct 2022,15:29:09.617,36.3
17 Oct 2022,15:29:12.172,36.3
17 Oct 2022,15:29:14.726,36.3
17 Oct 2022,15:29:17.272,36.1
17 Oct 2022,15:29:19.838,36.9
17 Oct 2022,15:29:22.377,36.9
17 Oct 2022,15:29:24.920,36.9
17 Oct 2022,15:29:27.491,36.9
17 Oct 2022,15:29:30.030,36.7
17 Oct 2022,15:29:32.586,36.7
17 Oct 2022,15:29:35.128,36.4
17 Oct 2022,15:29:37.683,36.4
17 Oct 2022,15:29:40.244,36.4
17 Oct 2022,15:29:42.798,36.4
17 Oct 2022,15:29:45.356,36.1
17 Oct 2022,15:29:47.876,36.1
17 Oct 2022,15:29:50.432,36.1
17 Oct 2022,15:29:52.988,36.4
17 Oct 2022,15:29:55.528,36.4
17 Oct 2022,15:29:58.099,36.3
17 Oct 2022,15:30:00.638,36.3
17 Oct 2022,15:30:03.180,36.5
17 Oct 2022,15:30:05.750,36.5
17 Oct 2022,15:30:08.292,36.5
17 Oct 2022,15:30:10.848,36.5
17 Oct 2022,15:30:13.404,36.5
17 Oct 2022,15:30:15.945,33.5
17 Oct 2022,15:30:18.500,33.5
17 Oct 2022,15:30:21.042,35.4
17 Oct 2022,15:30:23.614,35.8
17 Oct 2022,15:30:26.163,36.3
17 Oct 2022,15:30:28.696,36.3
17 Oct 2022,15:30:31.251,37.8
17 Oct 2022,15:30:33.823,37.8
17 Oct 2022,15:30:36.363,37.8
17 Oct 2022,15:30:38.902,31.7
17 Oct 2022,15:30:41.467,37.9
17 Oct 2022,15:30:44.014,37.9
17 Oct 2022,15:30:46.571,37.9
17 Oct 2022,15:30:49.109,37.9
17 Oct 2022,15:30:51.677,37.6
